date_info,name,title,content,rating
Reviewed in India on 30 October 2018,Sameer Patil,boAt 225 vs JBL CS100 vs Sennheisers cx180 | DETAILED Comparison after 1 YEAR of USE.,"NOTE:. @ There are thousands of reviews for this product, but surprisingly there's hardly any review explaining its performance in long run and comparing this earphones with similar ones available in market.. @ I am using these earphones since last one year and in the meantime I also happen to use JBL C100SI and Sennhesiers CX180, so I would be comparing all these 3 earphones in this review.. @ You get a "" L "" shaped connector in these earphones, so note that.. I am dividing this review in several subtopics directly stating my user experience and stating which is the Best earphone in that subtopic,. BUILT QUALITY :. ------------------. ● boAt - Flat cables which is tangle free in true sense. Metal housing holds up good, but colour sheds off after 5-6 months. Perfect ""L"" shaped connector which is apt for using with laptops while resting.. ● JBL - Small round cables, shredding off after 7-8 months of moderate usage. Plastic housing doing great so far.. Connector is bent, but not in perfect ""L"" shape, so its quite pain to use while resting.. ● Sennheiser - Small round cables, holding up good after 1 year of rough use. Plastic housing has become slick, as rubber coating on it has shredded off. Perfect ""L"" shaped connector which is apt for using with laptops while resting.. ●● WINNER- boAt 225 ●●. COMFORT :. ------------. ● boAt - comfortable enough when used while in upright position. These are VERY UNCOMFORTABLE when you use them while resting on couch or bed for watching movies or so. Has very long earphone head.. ● JBL - Comfortable enough in upright position. Slightly uncomfortable using while resting, as these have offset opening.. ● Sennheisers - Comfortable in both the position. These are apt for long duration usage.. ●● WINNER - sennheisers cx180 ●●. LOUDNESS :. -------------. CX180 > boAt 225 > JBL CS100SI. ● boAt - tends to distort above 75% level of volume.. ● JBL - Crystal clear even at full volume, but has least sound level in all of three.. ● Sennheisers - tends to distort above 75% level of volume, but has greater sound level of all.. ●● WINNER - sennheisers cx180 ●●. SOUND QUALITY ( Bass, mids & lows ) :. ---------------------------------------------. I noticed that all of them have almost same Mids & lows, which are strong & Crisp. But bass levels are different.. ● boAt - has average bass, I am very disappointed with it, since these earphones are marketed as bassheads.. ● JBL - has least bass of all, I felt treble is high in these.. ● Sennheisers - ton of bass and when used proper eartips, its just a treat for bass lovers.. ●● WINNER - sennheisers cx180 ●●. SOUND QUALITY OVER CALL :. ----------------------------------. ● boAt - I noticed in early few months, quality over call was great, but started to deplete after 5-6 months. But its still good, not as good as new. Noise cancellation is good and noticeable by person on other side.. ● JBL - its quite average and has maintained the quality over a year now.. ● Sennheisers - their NO microphone, lol :P. NOTE: boAt & JBL both's mics works with android and iOS perfectly.. ●● WINNER - boAt 225 ●●. CUSTOMER CARE :. --------------------. ● boAt : 1 Year warranty. Had no issues till date, so didn't got chance to check it. But some of my friends who ran into issue had mixed experiences.. ● JBL : 1 Year warranty. Had issue with one ear piece and was replaced within 2 weeks after contacting nearest service center.. ● Sennheisers : 2 Years warranty. I had 2 of these and one pair stopped working after a year and half, was replaced immediately within a week after contacting nearest service center.. NOTE: I first contacted the company via mail with my product details and I was given all the required details for service. I would suggest this to all.. ●● WINNER : sennheiser cx180 ●●. CONNECTIVITY :. ------------------. All the earphones have 3.5mm connector and works perfectly with both android and iOS devices.. VERDICT :. ----------. I don't think I need to explain anything else now, since I mentioned all the points of all these earphones. To sum up, I would say boAt 225 are good, if you are going to use the mic alot and not going to use these earphones while resting on couch for watching movies. If you want mic and even want to watch movies resting, then go for JBL CS100SI. But if you want the earphones only for watching the movies and listening to songs like me, then certainly go for Sennheisers cx180.. Hope this review helps you make sound decision.",4.0 out of 5 stars
Reviewed in India on 30 July 2018,Amazon Customer,It worked fine for around 1,It worked fine for around 1.5 months and thereafter sound from one of the speaker became almost nil.. Two more negatives. 1) Does not contain volume control. 2) Identifier to distinguish between left and right speaker is not easy to find and read on day to day basis,1.0 out of 5 stars
Reviewed in India on 22 October 2018,SHAILENDRA,Sony VS JBL,"I have used sony MDR-XB series earphones/headphones for a long time ... I have used XB-30EX, XB-55AP, XB-650BT. I just got one issue in all the sony products that they don't last long more than a year.. Even my XB650BT which costed me approx ₹6000 last october(2017), started giving me issues on its right speaker.. So my openion on JBL C100SI is that YOU CAN DEFINITELY PURCHASE THIS PRODUCT..!. The reason for this is because u can't find any difference in SOUND QUALITY/BASS/SOUND CLEARITY between double/tripple time costing any other product than this JBL earphones.. I am using this earphones for more than 4 months and they just sound like my old sony earphones but @ just half the price range.. So i suggest you to choose wisely what you need.",5.0 out of 5 stars
Reviewed in India on 3 October 2018,Bijayananda ,JBL WORST CUSTOMER SERVICE,"After using the JBL in-ear headphones for about 10 month the product started showing problem in it's right earpiece.. I am trying to connect to the JBL customer care but every time Amazon is providing a number which is not working. The toll free number are always busy of JBL customer service.. So if anyone is interested in buying this earphone don't buy it because the after sale services are really bad and probably the worst compare to other earphone products.. Lastly, if anyone know how to claim the product please kindly share it with me.",3.0 out of 5 stars
Reviewed in India on 9 October 2018,Mansi Patel,Thugged on Amazon. Chinese product sold but description says Origin India,A reqular buyer on Amazon. But this time completely thugged. The description says Origin India. But have been delivered a Made in China Product. Unfortunately I discarded the box and bag and stuff so unable to return it. But this time is a complete disappointment. A complete different description to what is sold.. Even second purchase it's made in china. Posting image.,1.0 out of 5 stars
Reviewed in India on 4 October 2018,peacepanda007,Not worth buying.,This product is not worth the money.My earphone didn't even last 3 months.Now I want to exchange it in warranty but don't know how to do it and I am stuck with a faulty piece.,1.0 out of 5 stars
Reviewed in India on 11 November 2018,Rahul,Recommended  for everyone those  who loves music..JBL C100SI,I think it's a one of the most best in quality earphone introduced in market. Because I have already use earphones like boat headbass100. One more and like sony.. senhensier. But after reading some reviews about this product. I have purchased it from amazon #JBL C100SI is awesome sound effects than other earphone that I have already mention above. I think it suits almost all mobiles. But some mobiles for best sound and beat we must adjust equalizer then it produces awesome sound effects. For both sound and bass .Don't think so... Go for this beast JBL C100SI. And purchased just for 549 on sale..,5.0 out of 5 stars
Reviewed in India on 21 December 2018,Prajjwal,Awesome Earphones,"Best in dis price Range.. Best part of dis earphones dat is tangle-free. Sound quality is owsm,bass is gud, u can hear every single detail.. But one thing i want to mention here dat if u r looking for d beat earphones in dis price range wid mic den go for it.. And if u don't need a mic den go for Sennheiser CX180 .",4.0 out of 5 stars
Reviewed in India on 20 October 2018,Arghya Chakraborty,JBL does it again!,"I have been using this headphone extensively for last 4 months. I have found it durable and easy to use.. It's sound quality is better than Boat 225, which was my previous earphones and a competitor of the JBL's one in this price range. Clear sound, good bass and an overall great experience.. If you want a quality earphones from a trusted brand, go for this one, you won't regret.. PS ~ Amazon was lightning quick with the delivery too.",4.0 out of 5 stars
Reviewed in India on 4 June 2018,Sakaar,Stopped working after 2 months,"Buying because 'JBL'? Well don't or you would regret it later.1 side stopped working, and going to the service centre 20 km away(okhla) only service centre in Delhi isn't worth it.But waste you money if you really want these 👍",1.0 out of 5 stars
