date_info,name,title,content,rating
Reviewed in India on 30 October 2018,Sameer Patil,boAt 225 vs JBL CS100 vs Sennheisers cx180 | DETAILED Comparison after 1 YEAR of USE.,"NOTE:. @ There are thousands of reviews for this product, but surprisingly there's hardly any review explaining its performance in long run and comparing this earphones with similar ones available in market.. @ I am using these earphones since last one year and in the meantime I also happen to use JBL C100SI and Sennhesiers CX180, so I would be comparing all these 3 earphones in this review.. @ You get a "" L "" shaped connector in these earphones, so note that.. I am dividing this review in several subtopics directly stating my user experience and stating which is the Best earphone in that subtopic,. BUILT QUALITY :. ------------------. ● boAt - Flat cables which is tangle free in true sense. Metal housing holds up good, but colour sheds off after 5-6 months. Perfect ""L"" shaped connector which is apt for using with laptops while resting.. ● JBL - Small round cables, shredding off after 7-8 months of moderate usage. Plastic housing doing great so far.. Connector is bent, but not in perfect ""L"" shape, so its quite pain to use while resting.. ● Sennheiser - Small round cables, holding up good after 1 year of rough use. Plastic housing has become slick, as rubber coating on it has shredded off. Perfect ""L"" shaped connector which is apt for using with laptops while resting.. ●● WINNER- boAt 225 ●●. COMFORT :. ------------. ● boAt - comfortable enough when used while in upright position. These are VERY UNCOMFORTABLE when you use them while resting on couch or bed for watching movies or so. Has very long earphone head.. ● JBL - Comfortable enough in upright position. Slightly uncomfortable using while resting, as these have offset opening.. ● Sennheisers - Comfortable in both the position. These are apt for long duration usage.. ●● WINNER - sennheisers cx180 ●●. LOUDNESS :. -------------. CX180 > boAt 225 > JBL CS100SI. ● boAt - tends to distort above 75% level of volume.. ● JBL - Crystal clear even at full volume, but has least sound level in all of three.. ● Sennheisers - tends to distort above 75% level of volume, but has greater sound level of all.. ●● WINNER - sennheisers cx180 ●●. SOUND QUALITY ( Bass, mids & lows ) :. ---------------------------------------------. I noticed that all of them have almost same Mids & lows, which are strong & Crisp. But bass levels are different.. ● boAt - has average bass, I am very disappointed with it, since these earphones are marketed as bassheads.. ● JBL - has least bass of all, I felt treble is high in these.. ● Sennheisers - ton of bass and when used proper eartips, its just a treat for bass lovers.. ●● WINNER - sennheisers cx180 ●●. SOUND QUALITY OVER CALL :. ----------------------------------. ● boAt - I noticed in early few months, quality over call was great, but started to deplete after 5-6 months. But its still good, not as good as new. Noise cancellation is good and noticeable by person on other side.. ● JBL - its quite average and has maintained the quality over a year now.. ● Sennheisers - their NO microphone, lol :P. NOTE: boAt & JBL both's mics works with android and iOS perfectly.. ●● WINNER - boAt 225 ●●. CUSTOMER CARE :. --------------------. ● boAt : 1 Year warranty. Had no issues till date, so didn't got chance to check it. But some of my friends who ran into issue had mixed experiences.. ● JBL : 1 Year warranty. Had issue with one ear piece and was replaced within 2 weeks after contacting nearest service center.. ● Sennheisers : 2 Years warranty. I had 2 of these and one pair stopped working after a year and half, was replaced immediately within a week after contacting nearest service center.. NOTE: I first contacted the company via mail with my product details and I was given all the required details for service. I would suggest this to all.. ●● WINNER : sennheiser cx180 ●●. CONNECTIVITY :. ------------------. All the earphones have 3.5mm connector and works perfectly with both android and iOS devices.. VERDICT :. ----------. I don't think I need to explain anything else now, since I mentioned all the points of all these earphones. To sum up, I would say boAt 225 are good, if you are going to use the mic alot and not going to use these earphones while resting on couch for watching movies. If you want mic and even want to watch movies resting, then go for JBL CS100SI. But if you want the earphones only for watching the movies and listening to songs like me, then certainly go for Sennheisers cx180.. Hope this review helps you make sound decision.",3.0 out of 5 stars
Reviewed in India on 17 October 2017,Sumit More,Stopped working in just 4-5 months.,I had purchased these boat headphones on may 2017. Suddenly it has stopped working after just 4 months. It has a warrenty of 1 year. I want this product to be replaced as soon as possible. I need headphones badly. Such a bad experience with amazon as i have not done any major shopping yet on amazon. Just want this product to be replaced man.,1.0 out of 5 stars
Reviewed in India on 20 October 2018,Manish Kumar,Excellent Earphones With Mic,"I bought this earphone by friend suggest. I am using this earphone and have not faced any problems yet. Mostly I used headphone during traveling for listening music and watching videos. After two months of usage this headphone, I am giving review.. • I got the product well packed by Amazon.. • I ordered Neon Lime Color and It’s a decent color.. • In packed box got 3 pairs extra earbuds with different sizes.. • Sounds are amazing. Sounds are high with Extra Bass but we can adjust. Sounds are much clear than others earphones I have ever used. No noises during calling.. • Length of the headphone is 1.2 meters. That is perfect for everyone.. • Wires are sturdy and strong.. • Jacks are metal and strong.. Verdict. Guys go for it. Value for money. Its reasonable price.",5.0 out of 5 stars
Reviewed in India on 8 June 2019,Sankaranand.B,It is a BLOODY DUPLICATE...!!!,"It is a bloody DUPLICATE.!!! The item was wrong in so many ways.. There are no Left/Right indicators on the drivers, ""BASSHEADS"" is written as ""BRSSHRDS"", the Jack is styled as the old Bassheads 225 and not like the new one. And items like ear extensions and extra earbuds are missing.. And the main thing, the item quality is too poor to be an original BASSHEADS earphone.(Because I already have one).",1.0 out of 5 stars
Reviewed in India on 24 August 2017,Prathik Raj,Replacement made when headset didnt work,"Its been 3 months since i purchased this product, headphones were good at the beginning, i used the product very rarely and now when i plug it in my ears no audio plays on right and audio decreases and increases in left then I got a new one replaced as soon I posted complaint to official mail ID. The new one works perfectly well would like to thank boat for their Customer Sevice.",4.0 out of 5 stars
Reviewed in India on 24 October 2018,Nihit Chaudhary,Very heavy earphone,"Sound is good , these earphone are good except one thing: the earphones are really very heavy and you cannot put it into your ears as it will fall down. That is the main reason that I have to return this product.. Not only me, I have seen my colleagues having the same issues so I would recommend not to buy this. Otherwise sound quality and bass is very good.",2.0 out of 5 stars
Reviewed in India on 23 September 2018,Abhinandan A S,Worst Earphone Ever Used,One of the worst ever used headphone in my life time.. Main drawback of this earphone is its weight. Due to metal body it weighs more which cause it to fall from ear very often.. Also it is not at all comfortable with any of the ear buds they have given with box.. Over all experience is very bad from one month. I prefer not to go for this product unless you want to try something worst.. I want to give 0 stars for this product.,1.0 out of 5 stars
Reviewed in India on 17 November 2018,Vijay,not durable,"I'm writing review after one year, i had sennheiser cx 180 and i bought this coz it had mic. i wil not compare this bad boat earphone as right side of earphone stopped working within 6 months. I sent to service center and replaced it. even that stopped working within 3 months. sennheiser cx 180 and it worked for almost 3yrs years without any issues. now i have MI earphone with mic and it's working fine.",1.0 out of 5 stars
Reviewed in India on 14 September 2018,vijay,Best buy at the price offered!,"The product is just perfect for the price range! I have used sony and jbl before, but they lack some or the other features like sound quality,noise cancellation and even the built quality. But this one just ticks all the boxes. You can go for it if you are looking for a earphones under 1k.. Pros:. Better Sound quality than it's competitors. Built quality is great (metal finish). Better Noise cancellation than it's rivals. Bass is just awesome (I'm a fan of it). Better pricing of all.. Cons:. Nothing as of now",5.0 out of 5 stars
Reviewed in India on 3 December 2018,Meera,I will not suggest for this.,"I won't suggest you, if you will buy this then you will be stuck and Amazon won't allow to return your poor machine.. I don't like this. The wire is heavy and feels like a cable . Also it's very heavy so doesn't fit in my ears.it come out and hurting my ears. The very sad part is, I'm trying to return it but amazon is not having return options only they can replace it where they are not understood customer prospects that of it doesn't fit to my requirements Nd not comfortable then what will I do with replacement. Very disappointed",1.0 out of 5 stars
