date_info,name,title,content,rating
Reviewed in India on 21 October 2018,Ashutosh Parida,Honest review of an edm music lover,No doubt it has a great bass and to a great extent noise cancellation and decent sound clarity and mindblowing battery but the following dissapointed me though i tried a lot to adjust.. 1.Bluetooth range not more than 10m. 2. Pain in ear due the conical buds(can be removed). 3. Wires are a bit long which makes it odd in front.. 4. No pouch provided.. 5. Worst part is very low quality and distoring mic. Other person keeps complaining about my voice.,3.0 out of 5 stars
Reviewed in India on 30 December 2018,Amazon Customer,Unreliable earphones with high cost,"This earphones are unreliable, i bought it before 15 days meanwhile right side ear buds got cracked automatically and it got divided in two parts, and sound quality is also not that much good but ok, one more thing bass is not good as it is a boat earphones.. Guys,. Also for the proof i have attached pics. Please see and think before buying​ this unreliable product.. Thanks.",1.0 out of 5 stars
Reviewed in India on 4 November 2018,Mrinal,Really good and durable.,"i bought itfor 999,I purchased it second time, gifted first one to brother. This is really good.. Sound quality is really good.. You can connect 2 devices at a time.I connect laptop and mobile both.when listening muaic on Lappy, if u get a call, it switches to mobile,this switch between device is not good but again in this price its awesome.. Battery stand by is 36 hours for me, and i have used it continously for 8 hours in one go. So Battery life is pretty awesome.. Comfortable on ear.",4.0 out of 5 stars
Reviewed in India on 30 June 2020,Vins,"A good earphone but with some issues, read this to find out more","I'll get straight to the pros and cons of Boat Rockerz 255 Pro Bluetooth earphones.. PROS:. 1. Sound- compared to the non-pro version, it seems to me that there's slight improvement in quality. Not that it is very noticeable, but a slight improvement.. Bass- has got good quality and quantity of bass compared to others in the same price range. The bass is clean, tight and is not muddy like realme bluetooth earphones.. Vocals- the vocals are clear and crisp.. Loudness- it is loud enough to be heard in a noisy environment.. 2. Comfort- the earphones are comfortable to wear but without the ear guides. Maybe that's just me, but wearing along with the ear guides gave me pain in the ears which eased off once the ear guides were removed.. 3. Design- it is of neckband design that is comfortable to wear. The buds have got magnets in it which helps it stick to one another when hanged down so that no tangling occurs.. 4. Colour- comes in some trendy colours like yellow, teal green, blue and red. The youngsters would love this just for that.. 5. Fast charging- gets completely charged in just an hour and has got high voltage protection too.. 6. Sound isolation- nothing to brag about but comparable with others in the same price segment.. 7.Mic- the calls were very clear. The person at the other end told me that the voice was audible without any disturbances and indeed very clear.. 8. Connectivity- this has got the A2DP feature. So dual connectivity is present and I did not experience any connection drops of any kind.. 9. No Lag- there was no lag experienced while playing PUBG.. CONS:. 1. Battery- this is the biggest gripe anyone could have with this earphone. The battery gets emptied quickly compared with its peers. Though there's fast charging one would expect headphones in this price range to last at least 10 to 12 hours but not Rockers PRO lasts for almost 6 to 8 hours. That's what I got out of them and that was not enough.. 2. Price- the asking price of 1599rs is high. You may get it for 1200rs during offers. Even then it is not value for money because of the poor battery backup.. 3. No auto on-off with magnetic buds- the feature which is present in Realme bluetooth earphones. This feature could have improved the battery life of this pair very much but alas it doesn't have it.. Final words:. Boat Rockerz 255 Pro bluetooth earphones are good in terms of sound quality and trendiness but lack in terms of battery backup. Though there are several pros than cons it all comes down to the battery life and this one loses out on that badly.. Other options in the same price range - LoodAudio Everloop (good @1169rs), Boat rockerz 255( when in offer @ 999rs), Blaupunkt BE50(999rs during offer or even @ 1399rs), Sony WI-200( pricey @1699rs and high in treble), Realme bluetooth earphones(@1599rs poor in sound quality but better in all other terms).. Thank you for reading. Cheers!!!",4.0 out of 5 stars
Reviewed in India on 7 September 2018,Ravi,Charging port not working,"After 11 days, the charging port isn't working and now I can't even return it. Wat to do ?? I know there is one year warranty but it is only been 11 days. C'mon boat, please send me new one.",1.0 out of 5 stars
Reviewed in India on 29 October 2018,SUBHANKAR DAS,Just Awesome Wireless Headphone under 1000...😉,Its Awesome... Good sound quality & 8-9 hrs battery life... Just waww look... 😉 I brought just 999 rupees.... But Amazon's Packageing system is Very bad... Very poor packaging... Flipcart's packaging system is much better than Amazon...,5.0 out of 5 stars
Reviewed in India on 22 September 2018,Rajesh Singh,stopped working in just 14 days,Its sound quality is adorable. overall it was good but just for 2 weeks after that it stopped working and since then it never powered on again. I am claiming for warrenty and it is still undergoing.,1.0 out of 5 stars
Reviewed in India on 29 September 2018,anshita,Great sound with worst mic.,After one month usage reviewing this .. Pros-. 1- sound quality. 2- design. 3- weight. 4- battery. Cons. 1- very bad mic for talking. 2- can't use while riding bike. 3 - Music is too loud,3.0 out of 5 stars
Reviewed in India on 9 November 2018,Pishon George,Very very bad Durabity,The product durability is 1 month... I just lost my bill details so i cant claim my warrenty .. But this earphones built quality is bad . It stops wrking completely after 1 month sep 14 to nov 11 👈 life span .. Dont lose ur bill details incase u want that warranty.. And after purchasing u must register ur product in boat's site for replacement and warranty,1.0 out of 5 stars
Reviewed in India on 1 December 2018,Abhishek Gupta,Disappointed,What on earth is the use of buying such product when it stop working in one month....your happiness sailed off like a BoAt.... #Disappointed,1.0 out of 5 stars
Reviewed in India on 24 January 2019,Anil Ojha,Good Earphones with good sound quality and build quality,Received this BoAt 255 earphones yesterday evening.. Sound quality is perfect. Good combination of Bass and treble. Can feel every beat.. Connectivity is quick. Detects and connects easily.. Battery life is good. Stayed around 10-11 hrs.As i received this yesterday evening. Have been playing since then. So its just the first day review. But performance is good.. Earphones looks solid. Build quality is good. The magnates are really helpful to hold the earphones. Earphones looks great.. Earphone wire could be bit long. But that's fine for me. Not sure about others.. Didn't get chance to charge so not sure about the time to full charge.. One thing i observed during my 10 hours play time that the music stopped playing itself in middle. Not sure it it gets disconnected or there is some technical problem.. But overall performance was nice. Good experience.,3.0 out of 5 stars
Reviewed in India on 7 February 2020,SOURAV BANERJEE,Just go for it 🤩 !!!!,Just Spellbpund !!!. Simply go for it with no 2nd thought. It's value for the money ( even exceeds my expectations when compared to some high priced JBL and Skullcandy ones ). Bought it for 1200INR and using it seamlessly without any complaints for last 5 days.. Sound is clear and loudness is enough even in crowded areas. Phone calls are good and no irregularities in voice reception. Battery lasts for over 10 hours for me on constant usage. Charging is fast enough. Overall satisfied with this product from BOAT 😀,5.0 out of 5 stars
Reviewed in India on 4 September 2018,Rohit P,Not at all expected this on 0th Day of purchase,Right speaker is not working at all. Useless product.. Big disappointment.,1.0 out of 5 stars
Reviewed in India on 14 July 2018,Sushant,Running has become comfortable now,The sound quality is good. I mean it can’t be compared with Senheiser or Bose but its worth the price.. Perfect to use while running; the earbuds are so comfortable that you wouldn’t even feel they are plugged in.,4.0 out of 5 stars
Reviewed in India on 5 February 2020,Kumaresan SR,Nice product,"Nice product,Rockers 255 pro is much better than Rockers 255....gud one from boat",4.0 out of 5 stars
Reviewed in India on 27 August 2018,Viswanathan,Product not good quality,Product stopped working in a month time,1.0 out of 5 stars
Reviewed in India on 3 November 2018,samuel paul john,Extremely good BT earphones!! Loud and Super BASS.,"Hey all, I have used quite a few budget earphones, Senn 180,213,soundmagic e18s, 1more piston, JBL t160, c150si, boat rockerz 225, compared the boat rockers 255 with all these earphones. Additionally I have a Philips basic, a Sony and a JBL headphone. I have bought these for my own use, a few friends and relatives. None of these can compare to the loudness bass and overall effect of these bt earphones. I'm obviously not an audiophile but I know the difference between a good sound and noise. The only concern I found was that the wires hang a lil low and the highs could have been sharper(nitpicking). Cant fault it otherwise. I have It paired with RN5 pro.",5.0 out of 5 stars
Reviewed in India on 15 December 2018,Mayank Bharati,"Below average product, don’t buy","Below average product. Not happy at all.. Pros : good sound quality. Cons : very uncomfortable, silicon buds are not soft. Bought a memory foam bud pair to use it.. Battery life is just ok. Once give a low battery alarm, dies within 2 min. Little heavy on ears. No return possible",1.0 out of 5 stars
Reviewed in India on 23 November 2018,Ravi Prakash Mishra,Good product with decent pros,"The product is a good buy if you are looking for a decent Bluetooth earphones with a reputed brand.. Sound quality 4/5)- pretty good with good amount of bass.. Durability (4/5)- the material seems durable and the earphones are light weight. Battery life (3.5/5)- It has a decent battery life of upto 5-6 hours playtime on 80% volume.. Connectivity (3.5/5)- gets connected with seconds but sometimes gets disconnected within a small range. Call quality (3/5)- call quality is decent, the person on the other end of the call can here you clearly however you need to place the mic exactly near your mouth. Sometimes the call gets distorted.",3.0 out of 5 stars
Reviewed in India on 5 November 2018,AmanXyz,Good Sound bad designed,This sound and bass quality is good battery life good noise cancelling is good but its wire is too long and uncomfortable which is not looking good wire is starting from top its looking bad but anyway everything is ok,4.0 out of 5 stars
Reviewed in India on 11 January 2019,Daniel Linz,Satisfied totally,"Got it today, really loved the product.. awesome sound.. i was thinking to buy the Airpod but a friend suggested this to me.. Why spend so much!! So i ordered this and this really is amazing.. it looks good.. have great sound and doesnt hurt ua ears!! I am totally satisfied with this and couldnt say about battery as i have got it, today itself!",5.0 out of 5 stars
Reviewed in India on 20 September 2018,shyam,Don't buy,Rightside speaker stop working within 20 days.,1.0 out of 5 stars
Reviewed in India on 29 October 2018,Mithilesh Kumar,Dont buy it.,"Although sound quality is good, but then whats a purpose of buying a wireless earphone when its controls (buttons) doesn't work. I bought this product withing a week controls where stop responding cant switch on or do anything.. replaced it got refund bought another piece different color that worn out in a day.. Both the time seller was "" Appario Retail Private Ltd"". So i leave it to your wisdom whether you want to buy this or not. I will never buy this brand at least from this platform.",1.0 out of 5 stars
Reviewed in India on 27 October 2018,Jasvinder Singh,Unable to connect two devices simultaneously,Overall good!. But I am unable to connect two devices simultaneously. Please Guide how can i do that.. Thank you!,4.0 out of 5 stars
Reviewed in India on 12 September 2018,Adnan Ahmad,Just received the product and one side of the earphone is not working,Don't you guys check the product before selling ? just received the product and one side of the earphone is working and the other is not !,5.0 out of 5 stars
Reviewed in India on 30 January 2019,Ashish Sharma,Really boat beating all others in the price range of 5 or 6k,"I am a prime customer of Amazon and I always purchase a product after so much research bought these boat rokerz in the sale in 1099 and trust me I am blown away by these I have used sony and other headphones in the price range of 5 & 6k but this is just similar to them in this price range ""sound quality"" 10/10 ""battery life"" seems good not tested for as described but will update soon ""durability"" 10/10 perfect fit no pain no discomfort.... Really boat has done a fantastic job with amazing music quality with superb bass in all highs mids &lows ..... Just go for it.",5.0 out of 5 stars
Reviewed in India on 1 November 2018,Pawan Sharma,Overall good but not that worth,"he only problem is that as earpieces are of metal so they are heavier than a normal wired earpiece And that makes u feel uncomfortable as u start to feel heavier in ur ears and the earbuds are too sleepery, so heavy earpiece with sleepery earbuds will make u irritate. And seems like boat just focussed on bass for these earphones. Note my words just and just bass, too much bass for long time will surely give u headache. I bought these for 999/- but i don't think so they are worth that. My senhessier cx wired earphones are way too much better than these, way too much. So if u want to buy these then buy only for the sake of wireless feature and not for the sound and build quality.",3.0 out of 5 stars
Reviewed in India on 13 March 2019,Siddharth Arora 'Sahar',Not accepting the charging within two days of purchase,"Let me tell you about the product in Details,. 1. Sound Quality is good. It is harmless for ears. Not too loud but traffic noise can't disturb you while listening music.. 2. Look is awesome but wires are too lengthy.. 3. Battery Backup 'WAS' awesome. Six to seven hours after 1 or 1.30 hours charging. BUT. 4. Product is not CHARGING AFTER ONLY TWO DAYS OF PURCHASE. And it is not acceptable. That's why the rating is ONE (lesser than one is not available though). I will change my ratings and review too but after the replacement or refund against this product.. And one more thing, do not put too deep to this thing in your ears, it might be painful after few minutes.. Regards. SIDDHARTH",1.0 out of 5 stars
Reviewed in India on 8 September 2018,Warren D'souza,Defective product,"Defective product. Not working, had to return the defective product.",1.0 out of 5 stars
Reviewed in India on 9 September 2019,Kiran,2 minute review,"◾Things We Like. ✔️Battery life is good enough to provide 10 hours of continuous use.. ✔️Designed with perfection to provide a smooth experience without any pain in ears.. ✔️Sound quality is decent and it offers normal to tremble and bit lower bass.. ✔️Comes at a very low price point which makes it perfect for that thing.. ◾Things We Didn’t Like. ❌Connectivity time is really high that it can frustrate you.. ❌Durability is the concern as some people have negative reviews about it.. ◾Verdict. ✔️As you look at such a low price point, there is no doubt that boAt is rocking in the section of great earbuds. If you want to enhance the music listening experience then you can easily go for other versions but if you have a tight budget then this one is the perfect choice to go for.",4.0 out of 5 stars
Reviewed in India on 23 December 2018,vijaybambal,Frequent failures.,"The item has been rendered defective three times in less than two months of usage. The first two times was due to charging issue and the third time due to sound distortion. Being under warranty, the item has been repaired the first two times and now I have registered a compliant for the third failure. The product has spent more time at the service centre than I have used it. Am completely dissatisfied with the reliability of the product.",1.0 out of 5 stars
Reviewed in India on 6 February 2020,Kuldeep,Good product,👍🏻Boat rockerz 255 pro is a just good product.. Battery : 6/10. Overall sound : 8/10. Bass : 8/10. Treble : 6/10. Mids : 6/10. Highs : 5/10. Build & Feel quality : 6/10. Calling quality : 8/10. Bluetooth connection : 7/10. Allover product is OK OK. This problem is very minor (Negligible) : Some time bluetooth loses its connectivity for 0.5sec and again connects automatically.. At Full volume there is no distortion in sound.. Sound of earphones doesn't feel noisy.. There is good effort from boat.. AWESOME product for runner and gyming peoples.. I got this product in 1299/-. But i have written this review in perspective of price 1899/-,4.0 out of 5 stars
Reviewed in India on 7 August 2019,Prasanth,Defective piece and disrespectful Policy.,"No matter what is excellent in a product, it doesn't matter if it doesn't turn on after a day.. You guys are enforcing a replacement for a failed model.. We can't keep working with warranty and keep the product in manufacturer's shed for days.. Got shut down in two days. Boat needs to review this product.. Bottom 14% reviews say the same problem, issue with charging.. I have purchased 5 boat devices so far I am disappointed for the first time because of this product and ""enforcement"" for replacement.. This leaves me no option but to stop believing in BOAT's own customer service for the problems posted by customers. Amazon just play with its policies. Its the manufacturer who needs to go beyond and hel it's customers.. Refund me for this defective product and I would like to purchase a new one of different model or make.",1.0 out of 5 stars
Reviewed in India on 28 October 2018,Vaibhav,Read carefully!!!,"I just brought it in last week, and to be very frank,it's really Awesome. Beyond my expectations.. Sound quality is like having your own personal home theatre,too clear and loud enough, you can listen every single bit of music.And coming to battery backup, they said it's 6hrs but it's more than that, for me it's working near about one and more.. I will say,Go for it.",5.0 out of 5 stars
Reviewed in India on 5 December 2018,customer,Really Cheep Quality,"Boat blue tooth 255, ye doubt Voice quality is amazing for 30 days or so you will be big FAN or Boat but after 30days.. voice from of the side going down and even after 35 days you will not be able to hear anything from one side. Boat Service on same again so pathetic , raise an complaint almost 10days back for replacement or rapair but after 10days its reaches to their rapir center, not sure how many more days Boat will take to repair... Big Suggestion DO NOT BUY THIS",2.0 out of 5 stars
Reviewed in India on 11 February 2020,Navneet Verma,Buy if you want to hurt your ears,Cant hear from more than 60% volume.it will hurt your ears and hit directly to your brain. Battery 100 to 60% than 0. Returned. Bass 6/10. Trebles 2/10. Sound quality 5/10. Battery 4/10. Mic 7/10,1.0 out of 5 stars
Reviewed in India on 28 August 2018,PRANAV PATIL,Not so good,Battery is faulty,1.0 out of 5 stars
Reviewed in India on 26 September 2020,Noel,Don't Buy,This is very uncomfortable to wear as it is large in size.. It's laterally coming out of the ears.. You can't ware helmet while wearing this.it is more bad more painful.. Bass is too loud... instrument separation is bad.. Not worth the price.. Only colour of the product is best...and rest of the things are worst.. Go for another one.,1.0 out of 5 stars
Reviewed in India on 24 January 2019,Avinash,Not the worth,I had brought the piece after reading lot of reviews etc. when i purchased and started using it turned off and said battery low .. Thats fine as initial product charged battery full and started using it ..It started reconnecting most of time and sound started disappearing . I checking the range on the manual which said 10m and i saw when i placed my mobile in shirts pocket it was perfect and working and when i moved it to pants pocket it disconnected and reconnected . and it kept happening with 100% charge and was totally waste of time and value for this .. Tried many times and got to know its very small range one and doesnt come with proper range.,1.0 out of 5 stars
Reviewed in India on 15 November 2018,BigBen,Awesome bass and battery life,Awesome bass. This is even at low volume. So if bass is your thing these are the earphones for you. Really like the sound. There could be more clarity but nonetheless these are good.. Great battery life as well. Lasts about 5-6 hours.. The only grouse is that they are not very comfortable. I changed the plugs to the smallest but my ears still hurt. Maybe just takes getting used to.. Spent 999 for it on the great Indian sale. Definitely worth it.,5.0 out of 5 stars
Reviewed in India on 10 February 2020,Arpan Dey,Review after 2 days of continuous use,Pros:. 1. Good base 8/10. 2. Very good mic 10/10. Cons :. 1. Mids are 3/10. 2. Treable 5/10. 3. Worst thing battery indicator does not show actual bettery level properly. It jumps from 100 percent to 60 percent then directly 0.. 4. Fast charging supported but after full charge it only lasts 4 to 4.5 hrs.. 5. Dont buy Sea green color it looks very old and blackish.. Overall its average in sound quality but very good for calling.,3.0 out of 5 stars
Reviewed in India on 5 September 2018,Richa ojha,Ok quality,The headphones were good at the beginning but after a week getting disturbance on left side earpiece which stays for sometime,1.0 out of 5 stars
Reviewed in India on 13 December 2018,Gunjan negi,Please don't buy this it's been only three months and it's one earphone is not working properly .,Very bad it's been only 3 months and it's one earphone is not working . One year warranty is useless no service centre service is there for help only waste of money .,1.0 out of 5 stars
Reviewed in India on 17 February 2020,Arun,Average,"It has fast charging and dual connectivity but i have noticed some issues.. While using it, i can hear some noise through the headset and when i stop playing music or videos after 25 sec a small tik sound comes and the noise stops. If it is just connected and not playing anything, no noise can be heard.. Another thing is that, it doesn't show battery charge correctly. Sometimes it shows sudden drop in charge and the next second it shows full charge without recharging.. If anyone has the same issues kindly comment your experience.. This is my second headset after replacement.Both have the same issue.While using it, i can hear some noise through the headset, just like the noice that is heared while tuning a radio and when i stop playing music or videos after 25 sec a small tik sound comes and the noise stops. If it is just connected and not playing anything, no noise can be heard.Is that usual?Does anyone have the same issue?",3.0 out of 5 stars
Reviewed in India on 11 February 2020,PG,Best For PUBG Mobile,"The main reason I bought this wireless earphone is Pubg mobile and I heard a lot of about Latency issues in wireless earphones but this one amazed me truely.. 1. YOU WILL HEAR FOOTSTEP WITHOUT ANY LATENCY ISSUE.. 2. THE BATTERY BACKUP IS ABSOLUTELY MINDBLOWING. (6-8 HOURS SMOOTHLY WITH 8/10 VOLUME RATIO WHICH I FEEL IS SUFFICIENT).. 3. THE BASE IS JUST PERFECT FOR GAMING AND MUSIC, NO PAIN IN EAR AND NO BLUNDER OF BASE WHILE HEARING EDM OR FIRING FROM AKM.. I have used Rockerz 255, Oneplus Bullet wired and Mivi but nothing can be compared in front of 255 Pro.. Best product with the best price!",5.0 out of 5 stars
Reviewed in India on 14 May 2019,nAkul,Average product,"The reason for this being an average product is that the pros are excellent but the cons also work against it.. Pros:. >Good noise cancellation. >Excellent sound quality. >Range is not bad. >Good battery life. Cons:. >The soft earbuds have a very small hole in it, so when you wear a helmet over it and if there is a slight change in the angle of the earpiece you are unable to hear anything from that earpiece unless you correct the angle.. >Durability: The left earpiece of my headphones stopped working within 2 months of use. The company repaired it and gave it back, but the time taken for the same was long. Also, the left earpiece projects lower sound than the right one.. >It does not inform when the Bluetooth gets disconnected after going out of range.. >Becomes useless after the battery reaches 20%. It keeps informing 'Oops! Battery low!' after every minute for the next 10 minutes and then switches off.",3.0 out of 5 stars
Reviewed in India on 20 June 2019,Ceroy,It's a piece of Garbage,Let me tell you that don't buy this. Yes it's true that it's the best product you can get for the price (I doubt that) but definitely it's not the best product YOU should buy.. Problems faced:. 1. Battery is pathetic. Mostly gives 3 hours of playtime. 2. The earphones get disconnected if you even go to the next room. 3. Sound is too low. I have to use 3rd party Equalizer to listen clearly. 4. The bass is also not good. Have to rely on the 3rd party apps. The only thing is Boat has a very good warranty service but the problems with the device make it a garbage af,1.0 out of 5 stars
