date_info,name,title,content,rating
Reviewed in India on 18 July 2019,Subhrangshu Saha,Review.,Being a gamer...i needed a monitor and this came in..i took it...so here is a small review. The monitor is nice. Its good lookinh the picture quality is good (note: purchase it if are going to game all day long. Don't buy it if you are going to watch movies and all) The refresh rate is good. Its written 21.5 inch its 22inch.. Pros :. VA Pannel quality is really good.. Not soo much blackbleeding.. Good Refresh rate.. Hardy Built.. Good amount of ports.. Anti-glare coating is perfect.. Cons:. Viewing angles are sometimes terrible. (But still great for a VA pannel). A WEBCAM can be provided.. At last of are going to buy this for gaming go for it..and if you are buying this for watching movies and all dont go for an IPS monitor.,5.0 out of 5 stars
Reviewed in India on 6 July 2019,SKYE,Best gaming monitor under 10k,"Out of the Box colors are not good..I had to manually set the colors with Nvidia panel...VRB set to extreme loses lots of colour details its set to normal for best...75hz refresh rate is good....Blacks are deep not grayish. ..I have nvidia gpu so no freesynce ......Display is finger print magnet...... Cons...The monitor buttons are hard to use it is recommended to download display widget software from Acer site....VRB lose brightness and colours..there is ghostig too.. New..I changed the rating to 5 star from 4 star.This mobitor is really...Unlile anyother I see.No backlight bleed and No VA glow..deepest black you ever see.I actually order another one, will receive It at 28 aug..Then my build will be complete.",5.0 out of 5 stars
Reviewed in India on 28 August 2019,Zaheer,Great monitor just lags DisplayPort,"Excellent gaming monitor. Came with a VGA and HDMI cable. Running great with 75hz refresh rate. Very crisp and rich display, looks amazing while playing games!. Edit: After using for some time, I found that there is an issue with using AMD FreeSync on this monitor. Apparently the refresh rate used for FreeSync does not work well with HDMI and needs a DisplayPort which is missing on this monitor, so we need to turn the feature off otherwise the monitor starts showing black screen for any game or application running in full screen.",4.0 out of 5 stars
Reviewed in India on 24 September 2019,ROY,FreeSync Isn't Working With VRB and Incomplete specification(Best product Under 9K price),"Gaming:-. Buy this monitor for gaming if you don't care about your eyes. To achieve 1ms (measured 1.7ms MPRT though it isn't mentioned in specification whether it is GTG or MPRT) response time it uses VRB. Which is a new technique to reduce response time by strobing back-light and that makes eye strain.. Other than Gaming:-. It has a response time of 12.7ms without VRB. And watching movie also a horrible experience. YouTube, NetFlix and Watching movie isn't recommended according to my experience.. Real Bad thing:-. What I was not expected from this price point of VA panel Monitor is ""Color banding problem"". It happens to lower color bit depth of monitor and in specification nothing mention about bit depth or color bit. At windows display settings it shows 8-bit but appears like 6-bit. By ignoring this problem color performance is very good, exceptional color performance for VA panel.. Good thing:-. The Black Level which is very Impressive. No back-light bleeding of panel glowing like IPS panel. Black are real rich black. I watched some HDR sample from YouTube which was amazing. Color is really good and should not have any major issue with professional work.. I bought this for the black level. I tried off of IPS glow and Gray Black.",3.0 out of 5 stars
Reviewed in India on 24 September 2019,Sanidhya Mishra,*Colour calibration required out of the box*,"Great for the price, the viewing angles are pretty good considering it's a VA panel. Colours out of the box are pretty horrible but after doing some colour calibration and setting the gamma to 2.4, the screen looks pretty great. Just increase the saturation for all colours by 10, and set the gamma to 2.4",4.0 out of 5 stars
Reviewed in India on 29 June 2020,Vivek Azad,Best Budget Monitor under 10k,"Got the 27inch monitor for Rs 8800 after the card discount. No defects or issue found with my unit, although tamper protection from one side was broken. Writing this review after 10 days of usage.. Things i liked about this monitor - 1. Best bang for the buck (27 inch monitor below 9000 rs). 2. Decent built quality, plastic quality feels nice & robust. 3. No backlight bleeding. 4. No Ghosting. 5. 75Hz works flawlessly. 6. Good contrast ratio. Things that needs to be improved. 1. 1ms VRB is a marketing gimmick, you wouldnt be able to use VRB as it makes the screen dark. 2. Color setting needs to be calibrated out of the box. 3. Monitor wobbles slightly. 4. 72% sRGB color gamut (Not to be used by designers). 5. No audio out port from monitor / no inbuilt speaker. Overall, if you get it for less than 10k it is an awesome monitor. For budget build, close your eyes and take this you will not regret.",5.0 out of 5 stars
Reviewed in India on 19 October 2019,Sheshadri K R,"Acer 27 inch Nitro, 75Hz , HDMI display : Just about right!","I have been using this product for about a month. This is the 27inch monitor from Acer.. This is a decent product for the price range of about 13K. I use it for coding as I need a bigger screen to have multiple editors on them.. Overall, the Youtube 1080p videos look sharp and clear. There are a good number of tuning knobs to suit settings to your convenience. The 75Hz display helps in keeping images sharp.. The HDMI and VGA connectors are good too. I'd recommend this product without any second thoughts.. Although if your desk and room permits, I'd recommend a 32 inch.",5.0 out of 5 stars
Reviewed in India on 29 October 2019,Ashish,Read before buying any monitor,I think if you are on a tight budget and want a gaming monitor for your setup then this is best as. Pros -. -Zero frame display. -Blue light filter. - easy menu and setting. - 1 ms response time. - 75 hz refresh rate. - colour are also nice. - v stand design looks amazing. For me this is the best monitor on this budget so no cons from my side.. There is no -. backlight bleeding or dead pixel. Also i had a acer monitor which i bought in 2011 and its still working so i trust acer more than any other company.. At last this is the best monitor for gaming in this budget,5.0 out of 5 stars
Reviewed in India on 17 August 2019,Toast,Best display to get in my opinion for the price 😉,Love it connected to my laptop this was worth the purchase. It's generally 75hz. Can be overclocked to 76hz nothing more. 1ms response time. 1080p vn display. Colours not bad. Shipped proper and came the next day even doe it said it would take 3 days I'm happy 😊. Very fine bezel. Can be mounted on a vesa arm.,4.0 out of 5 stars
Reviewed in India on 10 September 2019,sachin kant,3 star for the manufacturing defect,I dont know why... But there is a gap between display and the body of the display. U can push the display inward to fill that gap but that is not permanent. Overall display quality is gud but if u are lucky enough to get the product without any manufacturing defect. I will upload the photo for reference.,3.0 out of 5 stars
