date_info,name,title,content,rating
Reviewed in India on 12 January 2020,Ramprasad,Decent earphones for the price,"This is my third Bluetooth neckband, I own a House of Marley, a Realme Bud and this one. A brief comparison on some key parameters and a short review of this one.. Battery: The Realme does standout, lasts much longer than the other two, charging too is quite fast, the Infinity Glide came fully charged and dropped to 80% with about 60 minutes of usage, at this rate I guess it may last for just about 5-6 hours at the most. Charging is reasonably fast.. Comfort: This is pretty light and comfortable, the wires connecting the buds are not as stiff as the realme ones, the original earbuds fit perfectly and caused no pain or discomfort, the band round the neck too is comfortable, better than the Realme and the House of Marley. All three come with extra pairs of buds. Fits well and does not pop out while jogging or walking, the same holds for the other two devices compared as well.. Sound quality: The house of Marley was good while it lasted, alas, the Right bud stopped working after two years. The Realme too is good, though I found the highs missing in a few popular songs. The Infinity Glide is just about ok, the bass is present, but I found the highs missing, and some songs, thought the vocals sounded a bit dull (sort of muffled), but tastes differ. House of Marley was the best followed by the Realme, this one would just be ok for me. Both the Realme and the Glide had no noticeable lag when playing videos.. Features: The Realme feature of connecting and disconnecting using the magnetic buds was awesome, no such feature exists in Glide. The Glide though has a small cover to close the USB charging slot, the Realme has no such cover. The Glide has a BT 5.0, while the others don't, I found the connection strong even with a wall in between. The Dual EQ usage was a bit difficult, simultaneous pressing of the two-volume buttons cumbersome and the Bluetooth kept getting disconnected, also the phone had to be reconnected to the earphone each time the earphone was powered on, this I found to be seamless in Realme. The track change is a long press in the Glide, needs time to get used to this as I ended up increasing the volume several times while changing the track. The Glide is supposed to be splash-proof, though I have not tried this.. Call quality: Realme beats the other two hands down on this. House of Marley was the worst. If one uses the earphone for calling as a primary purpose, the Realme should be a better option.. Looks and Feel: Realme looks premium, followed by the Marley earphone. The Glide has the infinity symbol on the buds flat outer surface, while the Realme does not even sport a logo. I would put Realme on top of the list.. Durability: The House of Marley earphones lasted just about two years, the Realme is about three months old, and going strong, need to see how long the Infinity Glide lasts.. Verdict: If the difference of 500Rs between the Realme and the Glide is not very significant, I would recommend the Realme. But if 500Rs is a big difference, then the Glide is pretty functional, decent sound and comfort, my only concern would be the battery, 5-6 hours is all that I think it could give on first use, while the Realme gave me 8 hours easily on one charge. I guess the disconnect feature while not in use comes in handy for the Realme.",4.0 out of 5 stars
Reviewed in India on 7 January 2020,Rosy,Paves way for euphoria !,"Best product in this range ...finally bought this after testing all other similar products like : Realme buds, Sony and OnePlus bullets...bcz quality music is all that I craze for!!. I could feel the difference in the sound quality maintained by this product from Infinity..Besides its neckband is very much comfortable and easy to fold and carry anywhere. I have also used it with laptop and there was no problem in connectivity or quality.",5.0 out of 5 stars
Reviewed in India on 11 January 2020,Pravinraj Seeniraj Nadar,Good Sound Quality BT device 😃,"Was a bit skeptical while thinking of buying this since there were not much review online and purchased by seeing just 2 reviews one on amazon and one on youtube and rest by seeing the specs of 12mm driver and EQ mode ,. Also this is my first bluetooth earphones purchased and have used sennheiser wired one before. Now about the earphones. 1- The plastic quality is good,. 2- Sound Quality which is the main highlight is much better in my opinion then my friends boat wireless and I am highly satisfied to use it switching from my wired sennheiser because the sound quality for me is not much different and if its about base then this device is much stronger in deep base mode.. 3- for new users you might feel the volume - button to not feel tacktile compared to Volume+, its because of lower surface area for the Vol- button which is not a problem.. 4 - comes with 1 year warranty and would like to see how long lasting this device would be for me ... 5 - This review I have wrote after using for few minutes of delivery and listening to Li Nas X - Old town Road , Denzel Curry- Ultimate and also will update the review if I find something wrong.",5.0 out of 5 stars
Reviewed in India on 10 January 2020,Shreyas Anande,worst after sale service,"This is the best Bluetooth earphone I have ever used. Previously I was using apple airpods which stopped working after 2 years now after that I used multiple Bluetooth earphones Mi, JBL but this is the best surprisingly best over all the earphones I have used in past.. Above mentioned was my review when I purchased this Bluetooth earphones but now since a month the earphones are not working properly. They are getting disconnected with in 5mins when connected to any device. After sale service is pathetic. I’m struggling to get these set of earphones replaced since last 15 days. I haven’t received a single positive reply from team Harman nor they are providing me replacement. They have closed my complaint with out proving any solution or replacement.",1.0 out of 5 stars
Reviewed in India on 17 February 2020,Manish,Talking about audio quality.,"** I just wanted to save your time so, pubg people & mic quality people this review ain't for you. This review focuses basically on the audio quality part.. So, giving you guys a little background about me, I'm a musician and as you can see in the images I've used two wired headphones alongside this wireless headphone for comparison.. Left - Audio Technica CLR 100BK. Middle - Sennheiser CX 213. Right - Infinity Glide 120. Now I've always chosen Sennheiser basically as they don't color any particular zone of the sonic spectrum; if you're a flat sound lover you basically know what I'm talking about. Also, Audio Technica comes somewhere nearby; just a lil bit of color in the low end to provide that 'oomph' or the thump & subtle reduction of the highs, more of a thumpy festival sound.. Now coming to Infinity, this guy doesn't seem to reproduce the high end at all, don't know if I 'burn-in' these earphones hoping the sound quality will improve a bit.. I basically wanted a wireless upgrade without causing a hole in my pocket for the rest of the month; so gave this a try.. * Well, the extra bass tag is no special, don't be fooled. Low - 10/10. Mids - 9/10. Highs - 5/10. Still testing the battery, will update this review after couple of days.. ** Forgot to update, battery wasn't special too, returned the item. However I'm a happy user of Sony XB-400 now :)",4.0 out of 5 stars
Reviewed in India on 28 February 2020,Mohammed Asif,Not Recommend # Poor Quality- Disappointed,"This product is not worth for money. 1. You will not be able to connect the calls in Bluetooth aftern 10 min,. 2. Sounds Like a China Head Phones.. 3. Neck band length is bit high,. 5. Ear buds creates ear pain with in 15 to 20 min.. Look for better ones, Not recommend...This is not JBL CC",1.0 out of 5 stars
Reviewed in India on 17 January 2020,YUVRAJ SINGH,Microphone not working with Windows Laptop,Microphone not working properly when connected to laptop with Windows 10,1.0 out of 5 stars
Reviewed in India on 22 February 2020,Nanda Kishore MY,Dual mode is big advantage....,"Normal mode- well balanced sound with highs, mids and lows..... Bass Mode- for punchy bass, with good amount of highs, mids..... Overall really value for money neckband, earphone from the house of Harman, and subbrand Infinity maintains Harmans name.... Battery life is good....not best.... Only lacking is USB type C, and auto off during magnetic attachment...",5.0 out of 5 stars
Reviewed in India on 12 January 2020,Pinaki,A-one,"Bass - Awesome (Don’t fall for negative reviews). Mids - upto the mark. Connectivity - ok. Call Quality - Awesome. One negative though (against realme), it doesn’t disconnect to save power when both EarPods attached together",5.0 out of 5 stars
Reviewed in India on 6 February 2020,D. Harish,"Defective once, defective again","Bought these due to good reviews, brand name, and Bluetooth 5.0 - all for just Rs1200.. The earphones stopped working (faulty battery, perhaps) after two days. Requested a replacement, which was promptly delivered - only to have the second pair stop working just as soon for the same reason.. Provided great sound for the brief period they lasted, though buttons do not provide the best tactile feedback.",1.0 out of 5 stars
