date_info,name,title,content,rating
Reviewed in India on 11 May 2020,Sandeep R,Good for 2k,"Recieved today. Worth for 2k. But I had one plus wireless bullets 2. This one comes no where near that in build quality and premium feeling and sound Quality. But again this product is 4k less.. Very light weight to wear. Bass is good and better that bullets 2.. If you have not used bullets 2 then you will be very much satisfied with wireless Z.. But anyways I'll use this whole day and if I don't get satisfied then I'm going again for bullets wireless 2 only. Edit:- after 2 days of extensive use and comparing z with wireless 2 I've come to conclusion that ""Z"" is a steal deal. I'm very much satisfied with it. Nothing is in the market that comes close to ""Z"" in under 2k.. You can definitely buy this with your eyes closed.",5.0 out of 5 stars
Reviewed in India on 12 May 2020,Pranathi Naidu ,Just Amazing!!,"Product is just amazing!!. With the reasonable price and quality 🖤. Unbox - really great feel in Unboxing it!. Products included - C Type red cable and extra pair of earplugs and manuals. Experience - One plus products are always amazing, and this earphone tho I really loved it... The quality and the design is really excellent than the wireless 2 earphones!. It comes with the magnetic attach, where song will be paused when u attach both ear piece, and I had a confusion in Turing ON the earphones, You need to separate the earplugs and automatically it will be ON and Pair instantly... Sound quality - really great experience. And bass is not that good!. Volume control will different in this , i.e., when you increase or decrease the volume through earphones ,it doesn't impact on your mobile volume control...",5.0 out of 5 stars
Reviewed in India on 30 April 2020,kishore,Nice bullet wireless,Product price is low as we expected,5.0 out of 5 stars
Reviewed in India on 2 May 2020,Amazon Customer,Awesome neckband,It's very nice neckband.,5.0 out of 5 stars
Reviewed in India on 12 May 2020,shaik.ali311,Sound quality wasted my money,"Today I got delivery, thanks to Amazon for quick delivery in such trouble time... sound and mic problem only 1 star because not expected such low level sound quality.. Mic problem is that you have to speak louder and have to bring mic towards your mouth to get audible on other side. If you are looking for better quality of sound just go for others. It waste of money to buy these headsets for all including calls, musics and games.",1.0 out of 5 stars
Reviewed in India on 12 May 2020,Sanal bibu,Quick review,"Hello everyone....this is just a quick review about this headset. I use a OnePlus 7pro, here is what I felt about the headset. pairing is easy and smooth. Volume is not so high (if you are using a OnePlus device coz the volume bar is common for both headset and phone increase the volume of headset phone volume increases and vise versa) if you connect to any other device you get seperate volume for the device and the headset.. If you are a bass lover bass is not that punchy but has excellent sound quality ( try listening to Hello by Adele, it just blowed my mind). Battery backup is awsome (Note: 10mins charge for 10hrs works only if you are using the 30W warp charger). Low latency works only in fnatic mode (only in OnePlus device). Magnetic control works for any devices. That's what I think about the headset. ☺️",5.0 out of 5 stars
Reviewed in India on 12 May 2020,akshay,BAD MIC QUALITY,"item got today. too bad mic voice quality. cant hear anything clearly from receiver side. i did'nt expect this from the top brand oneplus , anyways i requested to replaced",1.0 out of 5 stars
Reviewed in India on 14 May 2020,vasanth,"Make it In INDIA, why still made in CHINA","Excellent product,. After using for 2 hrs still it has 100% of charge. Sound is good upto 60% of volume after getting noise.. Call clarity both sides superb.. Bluetooth coverage distance also superb.. Quality is nice.. But the problem is made in china, its better to made it in INDIA.",5.0 out of 5 stars
Reviewed in India on 17 May 2020,RAVI VAGHELA,TRY TO FIND OTHER OPTIONS IF NOT FOUND THEN GO FOR IT.,"Pros: battery backup, connectivity, good looks, easiy fit, light weight, easy to use for entire day.. Cons: sound has no bass, mic has to bring near mouth and still voice is not clear on otherside, music quality is poor than even Sennheiser cx 180.. Back to wired earphones after few days of disappointment in music and calls.. Overall unexpected from one plus.",1.0 out of 5 stars
Reviewed in India on 12 May 2020,Srinivas,Best for gaming and much more,"1) no need to worry about charging (rapid charging & heavy endurance too). 2) very good rage... penetrates 2, 6 inch walls .. no disturbance upto 3 bhk or duplex houses. 3) good enough sound quality for this price range. 4)low latency .. works for pubg and additional low latency with oneplus fntaic mode. 5) built quality excellent. 6) magnets just works like on_off play_pause. 7) easy switch between 2 devices hardly takes 5 secs to switch. And connects to device in just 2 sec as u separate the magnets",5.0 out of 5 stars
