date_info,name,title,content,rating
Reviewed in India on 18 October 2018,Magesvarane ,Dejected for the first time in Amazon & LG,"The problem is in the picture clarity. The left half is absolutely excellent but not on the other side, some yellowish color which dulls the monitor. Have called LG Customer care for service and awaiting his presence to sort out this issue. If not I will soon return the product.. Update: The service person convincing that it is nature quality of the light reflected which appears in white background. Yes, couldn't able to find any yellowish while playing videos. But, still it looks awkward. I usually work with white background software where I do not prefer this rile thing. I'm returning this LG monitor. Thanks to LG and Amazon for this awful experience.. Replaced Product Update: Now Amazon making me not to buy their products.. 1. Seal is broken and revamped.. 2. There is a bulge/ bump in the frame of the screen.. Returning this frustrating product. And I want my money back.. I think this is my last purchase from Amazon.. @Amazon, Don't play with LG brand, LG has lost one loyal customer because of you.",1.0 out of 5 stars
Reviewed in India on 7 December 2018,Sukant Sharma,Overall a Good Product at this Price,"This is a good 1080p monitor at this price:. i have purchased it @8199 during sale, and i feel it just worth it considering the price the product is well build comes with max 2 years of Warranty do read all the warranty related information on LG website or on the warranty card>. the Monitor comes with a HDMI port, by default i remain on 60Hz but if u want u cant take it upto 75Hz (u need a AMD card running on HDMI with AMD free sync On). colors are pre-calibrated but the coverage is only 75% of the color gamut. contrast ratio is also good. Dont Get Confused about this Monitor This is a IPS LED montior Not LCD as its written on product name(for a moment i got confused with that). It is not entirely bezel less there is a small bezel but its doesn't looks bad!. if you are planning to buy this monitor go with!. Hope these informations would be helpful to you all.. !",5.0 out of 5 stars
Reviewed in India on 7 August 2019,Ankit Jain,Best Budget Gaming Moniter,"Excellent monitor at this price range .display is really nice and the colors are all really vibrant. It supports freesync and upto 75Hz refresh rate. You get an HDMI cable too, even though I didn't see it being mentioned in the product page. I am fully satisfied after buying such affordable and budget range Full HD LED Monitor.. Cons:. 1. Glossy plastic back and stand finish attract lot of fingerprints. 2. Stand can only tilt, there is no height adjustment or rotation feature. 3. Only one HDMI Port. 4: No Speakers and USB port",5.0 out of 5 stars
Reviewed in India on 11 September 2017,Polash Majumdar,One of the best value for money,"This is a splendid product. Very to-the-point approach from the manufacturing perspective. One of the best price-to-performance ratio.. Pros:. 1. Freesync is supported. This means if you are using an AMD graphics card, your refresh rate automatically shoots beyond the 60Hz limit.. 2. Reader/Custom modes are available. As a user who uses the PC for gaming along with web browsing, movie watching, programming, a reader mode is very much required. Prolonged exposure to vibrant and bright colors are not always the best fit for programming. This monitor takes care of that.. 3. Comes with a decent HDMI male-to-male connector. The cable quality might not be world-class but does a decent job of responsive video data transfer, when it comes to quick display changes (like gaming).. 4. Minimal bezel at the edges.. 5. Beautiful and faithful color representations.. Cons:. 1. No horizontal swivel. This is a minor nice-to-have feature. However, the monitor does have adjustable vertical swiveling, which makes up for the missing feature.. 2. The main monitor control button (at the bottom base) is a little cumbersome to handle. This could have been better designed.. Two things to take note of:. A. If Freesync is turned on, you might have difficulties getting into BIOS as many motherboards do not support displays beyond 60Hz. It's kinda stupid but worth knowing. B. For the programmers: This is a normal DPI monitor (meaning the Dots-Per-Inch is 96 and so, it does not fall into the high-DPI category). This is just an information. This does not mean that the monitor is good or bad. Just that it is a normal DPI monitor.. All in all, a great monitor. I could not find anything to reduce even a half star from the product rating. 5 stars from me. Been using this for more than two weeks now.",5.0 out of 5 stars
Reviewed in India on 10 May 2019,Sandhikshan Das,A monitor that beats every other with IPS Cinema screen,"The whole box comes with plastic visible wrapper. So the shipping was awesome in 1 days delivery. However inside the box 1 monitor, 1 stand neck , 1 base stand, 1 cable management clip, 1 HDMI cable, 1 driver cd, and some documents comes. No vga cable . Hence can use your old one. The base stand's design is awesome with half circle shape. Made inside with aluminium finished with hard glossy black plastic. The stand neck and the back side of the monitor also has glossy plastic finish. Back side there 5 ports including vga port named as D-SUB and HDMI port. So I connected my monitor via vga cable cause I have no HDMI port. however ther are wall hanging option too at back. Front side the whole 16:9 ration screen has very narrow literally invisible bezel but when you will switch on the display you can notice very thin bezel at 3 side while the bottom has normal brezel with LG logo and only one joystick switch (Lg likes joystick ) . The resolution of the monitor is pure Full Hd with IPS cinema panel . The panel quality is A++ with very accurate real color production and this is the feature of the IPS panel. IPS panel is very helpful to the editors or graphics designers or gamers. Also this monitor has black stabilizer by which you can easily enjoy the dark scenes on screen. LG is a leading led tv maker company with OLED screen, so it is as expected that it have to be a great panel. The control of the monitor's can be changed either from the utility on screen display software provided in the cd or by the joystick monitor button moving and clicking right left up and down. However the other company's monitor is not so good or balanced cause either they have panel with corner light bleed or faded color grade or less port while this monitor has balanced features with perfect black which makes this monitor great and popular. I damn gurantee that you will not regreat after buying. Also this monitor is protected by Lg's manufacturing warranty. I got this monitor at Rs 6800 with card instant discount. So thanks amazon and thanks seller and thanks LG . Hit Like if you have liked this preview",5.0 out of 5 stars
Reviewed in India on 30 January 2019,Premkumar,Worst service experience,"Product is good. But after 2months of purchase my monitor is showing vertical green line at right side. And I have to go to service center too soon. And they told they replace panel, whether I don't know they replaced panel or not. Then they called me after 3 days to take my monitor. And the problem was solved. And again after 3 months I faced same problem and took to service center they are simply saying water damage. And this won't come under warranty. And they showing only photo of monitor panel which is good. And they are telling they'll charge for that. And I never wiped my monitor with dry or wet cloth then how could this happen. And I even know that's not water damage. They simply want to charge money from me. And I'm never gonna buy any lg products anymore.one of the worst customer center is lg. Its better to go with dell monitors",1.0 out of 5 stars
Reviewed in India on 29 September 2019,akku,Not aceptable from LG,"this is to inform u all this monitor is not good for gamers.i bought this monitor in may 2019 after 2-3 months it started showing me display errors after continues playning even on seeing youtube.it shows invalid color and this the display gets off. After 4-5 sec , it againg repets the same. This is so annoying from LG monitor.i connect to its costomer care service and they told that it has some issue in HDMI cable.I did change my HDMI cable than to it was showing same.t also joined my monitor to tatasky setupbox than also it shows the same error in as in video...….",1.0 out of 5 stars
Reviewed in India on 9 December 2018,kishore Nikam,Simply Awesome go for it!!! ❤️❤️❤️,First of all thanks to Amazon for delivering this product within 24 hours from chakan.. 1)Display of this led monitor is quite fabulous 👌I'm fully satisfied with it.. 2) It gives upto 75hz refresh rate but by default it gives 60hz you need to change it by going to display settings.. 3)Gaming performance quite looks like a charm that's what I can say right now after 9 days of usage. I will highly recommend to buy this product from amazon and I'm sure it will win your heart too ♥️,5.0 out of 5 stars
Reviewed in India on 20 June 2018,Rohit,Got a Defective piece!,"So Sad to recieve a defective product when u r as excited as i was 😭 . The right side of my monitor had a large shadow, dull area . I’ve returned it,will order again from diff seller after gettin my money back 🙏🏻",1.0 out of 5 stars
Reviewed in India on 24 January 2019,R,bit disappointed with brand and performance of IPS panel.,"the color quality is not up to the mark especially blak color is very poor in screen -screen shows grey color which is bit disappointing after spending double money on IPS technology.. Pros-1.average power consumption is about 14 W which is good. 2.stand and look is good. 3. reading profile settings is available with pc software which is easily manageable.. cons- 1.in built picture control is very bright and flickering you need to set colors and display settings from PC. 2.IPS panel quality is not up to the mark the contrast ratio is poor and black color is dull in screen, which is most important factor of Panel in order to enjoy perfect viewing experience.. 3 default brightness level of monitor is very high recommended to adjust it with in built graphic software of PC.",1.0 out of 5 stars
